2020-04-07 09:33:00	, 3930,	1010
2020-04-07 09:34:00	, 3932,	1005
2020-04-07 09:35:00	, 3932,	998
2020-04-07 09:36:00	, 3930,	1003
2020-04-07 09:37:00	, 3930,	1004
2020-04-07 09:38:00	, 3929,	1009
2020-04-07 09:39:00	, 3929,	1003
2020-04-07 09:40:00	, 3929,	1003
2020-04-07 09:41:00	, 3927,	1003
2020-04-07 09:42:00	, 3928,	996
2020-04-07 09:43:00	, 3925,	1002
2020-04-07 09:44:00	, 3927,	1003
2020-04-07 09:45:00	, 3926,	999
2020-04-07 09:46:00	, 3924,	1004
2020-04-07 09:47:00	, 3924,	997
2020-04-07 09:48:00	, 3924,	1002
2020-04-07 09:49:00	, 3924,	1007
2020-04-07 09:50:00	, 3924,	997
2020-04-07 09:51:00	, 3922,	1002
2020-04-07 09:52:00	, 3920,	1003
2020-04-07 09:53:00	, 3920,	1003
2020-04-07 09:54:00	, 3920,	1003
2020-04-07 09:55:00	, 3920,	1002
2020-04-07 09:56:00	, 3919,	1007
2020-04-07 09:57:00	, 3917,	995
2020-04-07 09:58:00	, 3918,	1005
2020-04-07 09:59:00	, 3916,	1000
2020-04-07 10:00:00	, 3918,	1002
2020-04-07 10:01:00	, 3918,	1003
2020-04-07 10:02:00	, 3916,	998
2020-04-07 10:03:00	, 3914,	999
2020-04-07 10:04:00	, 3914,	1007
2020-04-07 10:05:00	, 3914,	1008
2020-04-07 10:06:00	, 3914,	1000
2020-04-07 10:07:00	, 3910,	1007
2020-04-07 10:08:00	, 3912,	995
2020-04-07 10:09:00	, 3911,	1003
2020-04-07 10:10:00	, 3911,	1008
2020-04-07 10:11:00	, 3910,	995
2020-04-07 10:12:00	, 3909,	996
2020-04-07 10:13:00	, 3908,	992
2020-04-07 10:14:00	, 3908,	992
2020-04-07 10:15:00	, 3906,	1000
2020-04-07 10:16:00	, 3907,	1001
2020-04-07 10:17:00	, 3906,	1001
2020-04-07 10:18:00	, 3905,	998
2020-04-07 10:19:00	, 3905,	1002
2020-04-07 10:20:00	, 3904,	1001
2020-04-07 10:21:00	, 3904,	1001
2020-04-07 10:22:00	, 3903,	992
2020-04-07 10:23:00	, 3902,	1005
2020-04-07 10:24:00	, 3900,	995
2020-04-07 10:25:00	, 3898,	1009
2020-04-07 10:26:00	, 3899,	1008
2020-04-07 10:27:00	, 3898,	1001
2020-04-07 10:28:00	, 3898,	995
2020-04-07 10:29:00	, 3899,	995
2020-04-07 10:30:00	, 3896,	1001
2020-04-07 10:31:00	, 3897,	1001
2020-04-07 10:32:00	, 3894,	996
2020-04-07 10:33:00	, 3894,	1006
2020-04-07 10:34:00	, 3894,	1007
2020-04-07 10:35:00	, 3894,	1002
2020-04-07 10:36:00	, 3893,	1000
2020-04-07 10:37:00	, 3892,	1007
2020-04-07 10:38:00	, 3891,	1001
2020-04-07 10:39:00	, 3890,	994
2020-04-07 10:40:00	, 3891,	994
2020-04-07 10:41:00	, 3890,	1006
2020-04-07 10:42:00	, 3890,	1000
2020-04-07 10:43:00	, 3889,	1000
2020-04-07 10:44:00	, 3888,	1017
2020-04-07 10:45:00	, 3886,	1005
2020-04-07 10:46:00	, 3887,	999
